Hajj 1447 COWs 	Area	 Latitude	 Longitude
CWN022	Arafat	21.335685	39.989205
CWN996	Arafat	21.374231	39.980616
CWN092	Arafat	21.333244	39.971526
CWN080	Arafat	21.378152	39.990098
CWN960	Arafat	21.347135	39.992573
CWN984	Arafat	21.348754	39.995701
CWN076	Arafat	21.3692	39.977127
CWN073	Arafat	21.3738433	39.9865483
CWN038	Arafat	21.328514	39.961343
CWN923	Arafat	21.361257	39.973944
CWN072	Arafat	21.34196	39.97602
CWN901	Arafat	21.372652	39.989533
CWN020	Arafat	21.35047	39.96813
CWN036	Arafat	21.37989	39.944133
CWN085	Arafat	21.36681	39.96439
CWN084	Arafat	21.342528	39.962167
CWN087	Arafat	21.35694	39.97782
CWN075	Arafat	21.346996	39.957369
CWN015	Arafat	21.377645	39.986816
CWN078	Arafat	21.34051	39.99548
CWN083	Arafat	21.331372	39.965547
CWN203	Arafat	21.354658	39.986218
CWN212	Arafat	21.366124	39.984126
CWN903	Arafat	21.359944	39.947977
CWN906	Arafat	21.37625	39.98233
CWN914	Arafat	21.365421	39.971661
CWN951	Arafat	21.36258	39.96906
CWN956	Arafat	21.3704107	39.9854222
CWN980	Arafat	21.371837	39.985979
CWN991	Arafat	21.37224	39.93826
CWN050	Arafat	21.38536	40.00519
CWN093	Arafat	21.3568	39.93535
CWN001	Arafat	21.33728	39.957769
CWN108	Arafat	21.34916	39.98367
CWN008	Arafat	21.3513851	39.9812917
CWN105	Arafat		
CWN102	Arafat		
COW761	HAJJ Support Site	21.458543	39.160728
CWN026	HAJJ Support Site	21.41169	39.82852
CWN053	HAJJ Support Site	21.42747	39.828803
CWN950	HAJJ Support Site	21.43161	39.82664
CWN962	HAJJ Support Site	21.411579	39.821467
COWTR01	HAJJ Support Site	21.678011	39.563494
COW062	HAJJ Support Site	21.69186	39.341703
COW514	HAJJ Support Site	21.683882	39.308726
COW539	HAJJ Support Site	21.6753	39.360036
COW610	HAJJ Support Site	21.661166	39.275884
COW666	HAJJ Support Site	21.684983	39.351353
COWTR02	HAJJ Support Site	21.476507	39.727901
CWN967	Miqat Alssail	21.631015	40.427249
CWN998	Behaitah Checkpoint	21.647214	40.389186
CWN081	Shoaibah Checkpoints	20.99354	39.58815
CWN970	Mina	21.409075	39.905872
CWN959	Mina	21.417782	39.910356
CWN961	Mina	21.398381	39.89731
CWN002	Mina	21.42045	39.87142
CWN201	Mina	21.4206848	39.8809927
CWN777	Mina	21.395908	39.899677
CWN953	Mina	21.418835	39.892713
CWN976	Mina	21.40275	39.89751
CWN978	Mina	21.421776	39.891894
CWN994	Mina	21.42346	39.89534
COW780	HAJJ Support Site	21.88038	39.11599
CWN213	Muzdalifah	21.3645	39.9082
CWN208	Muzdalifah	21.402445	39.916322
CWN099	Muzdalifah	21.369688	39.901264
CWN955	Muzdalifah	21.389818	39.897434
CWN062	Muzdalifah	21.3818	39.89885
CWN907	Muzdalifah	21.4011089	39.9086724
CWN101	Muzdalifah	21.388356	39.927744
CWN915	Muzdalifah	 21.383061	39.925555 
CWN997	Muzdalifah	21.38314	39.904478
CWH318	Muzdalifah	21.3813332	39.9025838
CWN922	Muzdalifah	21.404058	39.916064
CWN300	Muzdalifah	21.386604	39.897081
CWN992	Muzdalifah	21.389249	39.906895
CWN206	Muzdalifah	21.390274	39.928265
CWN205	Muzdalifah	21.396241	39.914628
CWN004	Muzdalifah	21.387678	39.896187
CWN068	Muzdalifah	21.39217	39.91244
CWN074	Muzdalifah	21.388397	39.90236
CWN089	Muzdalifah	21.384184	39.910808
CWN202	Muzdalifah	21.397049	39.903512
CWN214	Muzdalifah	21.39194	39.903738
CWN301	Muzdalifah	21.386942	39.89955
CWN079	Muzdalifah	21.3615	39.9179
CWN032	Muzdalifah	21.3599709	39.9122733
CWN972	Muzdalifah	21.360682	39.916155
CWN211	Muzdalifah	21.386633	39.911309
CWN104	Muzdalifah	21.376644	39.918992
CWN021	Muzdalifah	21.3934192	39.9166466
CWN066	Muzdalifah	21.3905912	39.9199632
COW762	HAJJ Support Site	21.47622	39.154048
CWN103	HAJJ Support Site	21.349695	39.596004
